x y z
-1.888 -0.714 0.077
-1.888 -0.510 0.001
-1.888 -0.306 0.036
-1.888 -0.102 0.071
-1.888 0.102 0.104
-1.888 0.306 0.137
-1.888 0.510 0.168
-1.888 0.714 0.198
-1.888 0.918 0.225
-1.888 1.122 0.250
-1.888 1.327 0.271
-1.888 1.531 0.288
-1.888 1.735 0.301
-1.888 1.939 0.309
-1.888 2.143 0.311
-1.888 2.347 0.308
-1.888 2.551 0.300
-1.888 2.755 0.286
-1.888 2.959 0.271
-1.888 3.163 0.258
-1.888 3.367 0.244
-1.888 3.571 0.225
-1.888 3.776 0.199
-1.888 3.980 0.168
-1.888 4.184 0.131
-1.888 4.388 0.089
-1.888 4.592 0.043
-1.888 4.796 0.005
-1.888 5.000 0.042
-1.786 -5.000 1.629
-1.786 -4.796 1.568
-1.786 -4.592 1.506
-1.786 -4.388 1.443
-1.786 -4.184 1.378
-1.786 -3.980 1.312
-1.786 -3.776 1.244
-1.786 -3.571 1.175
-1.786 -3.367 1.103
-1.786 -3.163 1.028
-1.786 -2.959 0.951
-1.786 -2.755 0.869
-1.786 -2.551 0.782
-1.786 -2.347 0.693
-1.786 -2.143 0.605
-1.786 -1.939 0.519
-1.786 -1.735 0.433
-1.786 -1.531 0.349
-1.786 -1.327 0.266
-1.786 -1.122 0.184
-1.786 -0.918 0.104
-1.786 -0.714 0.025
-1.786 -0.510 0.023
-1.786 -0.306 0.058
-1.786 -0.102 0.092
-1.786 0.102 0.125
-1.786 0.306 0.157
-1.786 0.510 0.188
-1.786 0.714 0.218
-1.786 0.918 0.245
-1.786 1.122 0.270
-1.786 1.327 0.291
-1.786 1.531 0.308
-1.786 1.735 0.321
-1.786 1.939 0.328
-1.786 2.143 0.330
-1.786 2.347 0.327
-1.786 2.551 0.318
-1.786 2.755 0.304
-1.786 2.959 0.292
-1.786 3.163 0.282
-1.786 3.367 0.269
-1.786 3.571 0.250
-1.786 3.776 0.225
-1.786 3.980 0.193
-1.786 4.184 0.155
-1.786 4.388 0.112
-1.786 4.592 0.064
-1.786 4.796 0.013
-1.786 5.000 0.029
-1.684 -5.000 1.574
-1.684 -4.796 1.513
-1.684 -4.592 1.451
-1.684 -4.388 1.387
-1.684 -4.184 1.322
-1.684 -3.980 1.255
-1.684 -3.776 1.187
-1.684 -3.571 1.116
-1.684 -3.367 1.043
-1.684 -3.163 0.966
-1.684 -2.959 0.886
-1.684 -2.755 0.801
-1.684 -2.551 0.713
-1.684 -2.347 0.626
-1.684 -2.143 0.540
-1.684 -1.939 0.455
-1.684 -1.735 0.372
-1.684 -1.531 0.289
-1.684 -1.327 0.208
-1.684 -1.122 0.128
-1.684 -0.918 0.050
-1.684 -0.714 0.012
-1.684 -0.510 0.046
-1.684 -0.306 0.080
-1.684 -0.102 0.113
-1.684 0.102 0.146
-1.684 0.306 0.178
-1.684 0.510 0.209
-1.684 0.714 0.238
-1.684 0.918 0.265
-1.684 1.122 0.289
-1.684 1.327 0.310
-1.684 1.531 0.328
-1.684 1.735 0.340
-1.684 1.939 0.347
-1.684 2.143 0.349
-1.684 2.347 0.345
-1.684 2.551 0.335
-1.684 2.755 0.322
-1.684 2.959 0.314
-1.684 3.163 0.307
-1.684 3.367 0.295
-1.684 3.571 0.276
-1.684 3.776 0.249
-1.684 3.980 0.216
-1.684 4.184 0.177
-1.684 4.388 0.132
