x y z
-1.582 3.571 0.919
-1.582 3.776 0.973
-1.582 3.980 1.027
-1.582 4.184 1.080
-1.582 4.388 1.133
-1.582 4.592 1.185
-1.582 4.796 1.237
-1.582 5.000 1.289
-1.480 -5.000 0.077
-1.480 -4.796 0.046
-1.480 -4.592 0.016
-1.480 -4.388 0.012
-1.480 -4.184 0.038
-1.480 -3.980 0.064
-1.480 -3.776 0.089
-1.480 -3.571 0.113
-1.480 -3.367 0.137
-1.480 -3.163 0.161
-1.480 -2.959 0.183
-1.480 -2.755 0.205
-1.480 -2.551 0.225
-1.480 -2.347 0.244
-1.480 -2.143 0.261
-1.480 -1.939 0.276
-1.480 -1.735 0.288
-1.480 -1.531 0.296
-1.480 -1.327 0.300
-1.480 -1.122 0.299
-1.480 -0.918 0.291
-1.480 -0.714 0.277
-1.480 -0.510 0.255
-1.480 -0.306 0.224
-1.480 -0.102 0.186
-1.480 0.102 0.139
-1.480 0.306 0.086
-1.480 0.510 0.029
-1.480 0.714 0.032
-1.480 0.918 0.095
-1.480 1.122 0.159
-1.480 1.327 0.222
-1.480 1.531 0.285
-1.480 1.735 0.348
-1.480 1.939 0.409
-1.480 2.143 0.470
-1.480 2.347 0.529
-1.480 2.551 0.588
-1.480 2.755 0.645
-1.480 2.959 0.702
-1.480 3.163 0.757
-1.480 3.367 0.811
-1.480 3.571 0.865
-1.480 3.776 0.918
-1.480 3.980 0.970
-1.480 4.184 1.022
-1.480 4.388 1.073
-1.480 4.592 1.124
-1.480 4.796 1.175
-1.480 5.000 1.226
-1.378 -5.000 0.071
-1.378 -4.796 0.040
-1.378 -4.592 0.009
-1.378 -4.388 0.019
-1.378 -4.184 0.046
-1.378 -3.980 0.073
-1.378 -3.776 0.099
-1.378 -3.571 0.124
-1.378 -3.367 0.149
-1.378 -3.163 0.173
-1.378 -2.959 0.197
-1.378 -2.755 0.220
-1.378 -2.551 0.242
-1.378 -2.347 0.262
-1.378 -2.143 0.281
-1.378 -1.939 0.298
-1.378 -1.735 0.312
-1.378 -1.531 0.322
-1.378 -1.327 0.328
-1.378 -1.122 0.328
-1.378 -0.918 0.322
-1.378 -0.714 0.309
-1.378 -0.510 0.287
-1.378 -0.306 0.257
-1.378 -0.102 0.218
-1.378 0.102 0.171
-1.378 0.306 0.119
-1.378 0.510 0.062
-1.378 0.714 0.002
-1.378 0.918 0.060
-1.378 1.122 0.122
-1.378 1.327 0.185
-1.378 1.531 0.246
-1.378 1.735 0.307
-1.378 1.939 0.368
-1.378 2.143 0.427
-1.378 2.347 0.485
-1.378 2.551 0.541
-1.378 2.755 0.597
-1.378 2.959 0.652
-1.378 3.163 0.706
-1.378 3.367 0.759
-1.378 3.571 0.811
-1.378 3.776 0.862
-1.378 3.980 0.913
-1.378 4.184 0.964
-1.378 4.388 1.014
-1.378 4.592 1.065
-1.378 4.796 1.115
-1.378 5.000 1.164
-1.276 -5.000 0.071
-1.276 -4.796 0.039
-1.276 -4.592 0.007
-1.276 -4.388 0.022
-1.276 -4.184 0.049
-1.276 -3.980 0.076
-1.276 -3.776 0.103
-1.276 -3.571 0.130
-1.276 -3.367 0.156
-1.276 -3.163 0.181
-1.276 -2.959 0.206
-1.276 -2.755 0.230
-1.276 -2.551 0.254
-1.276 -2.347 0.276
-1.276 -2.143 0.297
-1.276 -1.939 0.316
-1.276 -1.735 0.332
-1.276 -1.531 0.345
-1.276 -1.327 0.353
-1.276 -1.122 0.356
-1.276 -0.918 0.352
-1.276 -0.714 0.340
-1.276 -0.510 0.318
-1.276 -0.306 0.288
-1.276 -0.102 0.250
-1.276 0.102 0.203
-1.276 0.306 0.151
-1.276 0.510 0.095
-1.276 0.714 0.036
-1.276 0.918 0.025
-1.276 1.122 0.086
-1.276 1.327 0.147
-1.276 1.531 0.208
-1.276 1.735 0.267
-1.276 1.939 0.326
-1.276 2.143 0.384
-1.276 2.347 0.440
-1.276 2.551 0.495
-1.276 2.755 0.550
-1.276 2.959 0.603
-1.276 3.163 0.655
-1.276 3.367 0.707
-1.276 3.571 0.757
-1.276 3.776 0.808
-1.276 3.980 0.858
-1.276 4.184 0.907
-1.276 4.388 0.956
-1.276 4.592 1.005
-1.276 4.796 1.054
-1.276 5.000 1.103
-1.173 -5.000 0.078
-1.173 -4.796 0.045
-1.173 -4.592 0.012
-1.173 -4.388 0.018
-1.173 -4.184 0.047
-1.173 -3.980 0.075
-1.173 -3.776 0.103
-1.173 -3.571 0.130
-1.173 -3.367 0.157
-1.173 -3.163 0.184
-1.173 -2.959 0.210
-1.173 -2.755 0.236
-1.173 -2.551 0.261
-1.173 -2.347 0.285
-1.173 -2.143 0.308
-1.173 -1.939 0.329
-1.173 -1.735 0.349
-1.173 -1.531 0.365
-1.173 -1.327 0.376
-1.173 -1.122 0.382
-1.173 -0.918 0.380
-1.173 -0.714 0.370
-1.173 -0.510 0.350
-1.173 -0.306 0.320
-1.173 -0.102 0.281
-1.173 0.102 0.235
-1.173 0.306 0.183
-1.173 0.510 0.127
-1.173 0.714 0.069
-1.173 0.918 0.010
-1.173 1.122 0.050
-1.173 1.327 0.110
-1.173 1.531 0.169
-1.173 1.735 0.228
-1.173 1.939 0.285
-1.173 2.143 0.341
-1.173 2.347 0.396
-1.173 2.551 0.450
-1.173 2.755 0.502
-1.173 2.959 0.554
-1.173 3.163 0.605
-1.173 3.367 0.655
-1.173 3.571 0.705
-1.173 3.776 0.754
-1.173 3.980 0.802
-1.173 4.184 0.851
-1.173 4.388 0.899
