x y u v
0.184 3.789 3.769 7.137
0.553 3.789 3.794 4.671
0.921 3.789 3.799 0.231
1.289 3.789 3.772 -6.336
1.658 3.789 3.800 -14.930
2.026 3.789 3.783 -25.574
2.395 3.789 3.781 -38.345
2.763 3.789 3.833 -52.185
3.132 3.789 4.052 -65.433
3.500 3.789 4.332 -78.118
-3.500 4.632 5.137 -88.657
-3.132 4.632 4.901 -73.990
-2.763 4.632 4.723 -57.697
-2.395 4.632 4.639 -41.359
-2.026 4.632 4.638 -26.646
-1.658 4.632 4.633 -14.516
-1.289 4.632 4.661 -4.749
-0.921 4.632 4.604 2.340
-0.553 4.632 4.672 7.012
-0.184 4.632 4.643 9.098
0.184 4.632 4.630 8.743
0.553 4.632 4.635 5.823
0.921 4.632 4.609 0.488
1.289 4.632 4.614 -7.469
1.658 4.632 4.658 -17.979
2.026 4.632 4.628 -30.888
2.395 4.632 4.655 -46.318
2.763 4.632 4.719 -62.492
3.132 4.632 5.024 -77.039
3.500 4.632 5.360 -90.579
-3.500 5.474 6.109 -102.428
-3.132 5.474 5.852 -86.138
-2.763 5.474 5.636 -67.681
-2.395 5.474 5.536 -48.704
-2.026 5.474 5.543 -31.276
-1.658 5.474 5.543 -16.963
-1.289 5.474 5.588 -5.569
-0.921 5.474 5.529 2.506
-0.553 5.474 5.582 8.302
-0.184 5.474 5.563 10.681
0.184 5.474 5.652 9.219
0.553 5.474 5.621 4.940
0.921 5.474 5.526 -1.769
1.289 5.474 5.555 -12.225
1.658 5.474 5.377 -25.707
2.026 5.474 5.357 -39.563
2.395 5.474 5.573 -54.207
2.763 5.474 5.598 -72.437
3.132 5.474 5.984 -88.201
3.500 5.474 6.368 -102.331
-3.500 6.316 7.070 -114.668
-3.132 6.316 6.813 -96.739
-2.763 6.316 6.624 -76.060
-2.395 6.316 6.536 -54.525
-2.026 6.316 6.543 -34.741
-1.658 6.316 6.536 -18.579
-1.289 6.316 6.593 -6.119
-0.921 6.316 6.547 2.596
-0.553 6.316 6.535 9.748
-0.184 6.316 6.681 11.143
0.184 6.316 6.735 8.948
0.553 6.316 6.649 3.121
0.921 6.316 6.535 -5.881
1.289 6.316 6.543 -17.807
1.658 6.316 6.217 -32.082
2.026 6.316 6.226 -47.388
2.395 6.316 6.385 -64.488
2.763 6.316 6.519 -81.629
3.132 6.316 6.907 -99.082
3.500 6.316 7.369 -113.809
-3.500 7.158 8.055 -125.127
-3.132 7.158 7.828 -105.143
-2.763 7.158 7.693 -82.234
-2.395 7.158 7.659 -58.482
-2.026 7.158 7.650 -36.921
-1.658 7.158 7.623 -19.365
-1.289 7.158 7.677 -6.376
-0.921 7.158 7.646 2.811
-0.553 7.158 7.706 10.155
-0.184 7.158 7.805 11.558
0.184 7.158 7.824 8.402
0.553 7.158 7.687 1.170
0.921 7.158 7.568 -9.310
1.289 7.158 7.561 -22.642
1.658 7.158 7.120 -38.452
2.026 7.158 7.160 -55.112
2.395 7.158 7.320 -73.719
2.763 7.158 7.472 -91.108
3.132 7.158 7.749 -109.414
3.500 7.158 8.354 -125.151
-3.500 8.000 9.096 -133.581
-3.132 8.000 8.926 -111.222
-2.763 8.000 8.856 -86.295
-2.395 8.000 8.868 -60.728
-2.026 8.000 8.843 -37.868
-1.658 8.000 8.815 -19.531
-1.289 8.000 8.849 -6.386
-0.921 8.000 8.846 3.060
-0.553 8.000 8.922 10.192
-0.184 8.000 8.982 11.353
0.184 8.000 8.954 7.123
0.553 8.000 8.782 -1.343
0.921 8.000 8.656 -13.036
1.289 8.000 8.624 -27.620
1.658 8.000 8.081 -44.705
2.026 8.000 8.148 -62.523
2.395 8.000 8.321 -82.142
2.763 8.000 8.428 -101.031
3.132 8.000 8.580 -118.538
3.500 8.000 9.248 -136.240
