x y z
-1.102 -0.612 0.520
-1.102 -0.531 0.494
-1.102 -0.449 0.468
-1.102 -0.367 0.442
-1.102 -0.286 0.417
-1.102 -0.204 0.395
-1.102 -0.122 0.377
-1.102 -0.041 0.366
-1.102 0.041 0.359
-1.102 0.122 0.354
-1.102 0.204 0.352
-1.102 0.286 0.350
-1.102 0.367 0.350
-1.102 0.449 0.349
-1.102 0.531 0.349
-1.102 0.612 0.348
-1.102 0.694 0.348
-1.102 0.776 0.348
-1.102 0.857 0.348
-1.102 0.939 0.348
-1.102 1.020 0.348
-1.102 1.102 0.348
-1.102 1.184 0.348
-1.102 1.265 0.348
-1.102 1.347 0.348
-1.102 1.429 0.348
-1.102 1.510 0.348
-1.102 1.592 0.348
-1.102 1.673 0.348
-1.102 1.755 0.347
-1.102 1.837 0.347
-1.102 1.918 0.347
-1.102 2.000 0.347
-1.020 -2.000 1.155
-1.020 -1.918 0.989
-1.020 -1.837 0.794
-1.020 -1.755 0.590
-1.020 -1.673 0.434
-1.020 -1.592 0.350
-1.020 -1.510 0.333
-1.020 -1.429 0.342
-1.020 -1.347 0.355
-1.020 -1.265 0.372
-1.020 -1.184 0.394
-1.020 -1.102 0.423
-1.020 -1.020 0.458
-1.020 -0.939 0.490
-1.020 -0.857 0.508
-1.020 -0.776 0.511
-1.020 -0.694 0.499
-1.020 -0.612 0.476
-1.020 -0.531 0.451
-1.020 -0.449 0.425
-1.020 -0.367 0.400
-1.020 -0.286 0.377
-1.020 -0.204 0.356
-1.020 -0.122 0.343
-1.020 -0.041 0.335
-1.020 0.041 0.330
-1.020 0.122 0.327
-1.020 0.204 0.325
-1.020 0.286 0.324
-1.020 0.367 0.323
-1.020 0.449 0.323
-1.020 0.531 0.323
-1.020 0.612 0.323
-1.020 0.694 0.322
-1.020 0.776 0.322
-1.020 0.857 0.322
-1.020 0.939 0.322
-1.020 1.020 0.322
-1.020 1.102 0.322
-1.020 1.184 0.322
-1.020 1.265 0.322
-1.020 1.347 0.322
-1.020 1.429 0.322
-1.020 1.510 0.322
-1.020 1.592 0.322
-1.020 1.673 0.322
-1.020 1.755 0.322
-1.020 1.837 0.322
-1.020 1.918 0.322
-1.020 2.000 0.321
-0.939 -2.000 1.058
-0.939 -1.918 0.874
-0.939 -1.837 0.658
-0.939 -1.755 0.467
-0.939 -1.673 0.341
-0.939 -1.592 0.300
-0.939 -1.510 0.299
-0.939 -1.429 0.303
-0.939 -1.347 0.312
-0.939 -1.265 0.327
-0.939 -1.184 0.349
-0.939 -1.102 0.380
-0.939 -1.020 0.415
-0.939 -0.939 0.446
-0.939 -0.857 0.464
-0.939 -0.776 0.467
-0.939 -0.694 0.456
-0.939 -0.612 0.433
-0.939 -0.531 0.408
-0.939 -0.449 0.383
-0.939 -0.367 0.358
-0.939 -0.286 0.337
-0.939 -0.204 0.321
-0.939 -0.122 0.311
-0.939 -0.041 0.305
-0.939 0.041 0.302
-0.939 0.122 0.300
-0.939 0.204 0.299
-0.939 0.286 0.298
-0.939 0.367 0.297
-0.939 0.449 0.297
-0.939 0.531 0.297
-0.939 0.612 0.297
-0.939 0.694 0.297
-0.939 0.776 0.296
-0.939 0.857 0.296
-0.939 0.939 0.296
-0.939 1.020 0.296
-0.939 1.102 0.296
-0.939 1.184 0.296
-0.939 1.265 0.296
-0.939 1.347 0.296
-0.939 1.429 0.296
-0.939 1.510 0.296
-0.939 1.592 0.296
-0.939 1.673 0.296
-0.939 1.755 0.296
-0.939 1.837 0.296
-0.939 1.918 0.296
-0.939 2.000 0.296
-0.857 -2.000 0.955
-0.857 -1.918 0.747
-0.857 -1.837 0.530
-0.857 -1.755 0.360
-0.857 -1.673 0.279
-0.857 -1.592 0.272
-0.857 -1.510 0.272
-0.857 -1.429 0.272
-0.857 -1.347 0.275
-0.857 -1.265 0.286
-0.857 -1.184 0.307
-0.857 -1.102 0.338
-0.857 -1.020 0.372
-0.857 -0.939 0.402
-0.857 -0.857 0.420
-0.857 -0.776 0.424
-0.857 -0.694 0.412
-0.857 -0.612 0.389
-0.857 -0.531 0.365
-0.857 -0.449 0.340
-0.857 -0.367 0.318
-0.857 -0.286 0.300
-0.857 -0.204 0.288
-0.857 -0.122 0.281
-0.857 -0.041 0.277
-0.857 0.041 0.275
-0.857 0.122 0.273
-0.857 0.204 0.272
-0.857 0.286 0.272
-0.857 0.367 0.271
-0.857 0.449 0.271
-0.857 0.531 0.271
-0.857 0.612 0.271
-0.857 0.694 0.271
-0.857 0.776 0.271
-0.857 0.857 0.271
-0.857 0.939 0.271
-0.857 1.020 0.270
-0.857 1.102 0.270
-0.857 1.184 0.270
-0.857 1.265 0.270
-0.857 1.347 0.270
-0.857 1.429 0.270
-0.857 1.510 0.270
-0.857 1.592 0.270
-0.857 1.673 0.270
-0.857 1.755 0.270
-0.857 1.837 0.270
-0.857 1.918 0.270
-0.857 2.000 0.270
-0.776 -2.000 0.843
-0.776 -1.918 0.616
-0.776 -1.837 0.412
-0.776 -1.755 0.276
-0.776 -1.673 0.246
-0.776 -1.592 0.246
-0.776 -1.510 0.246
-0.776 -1.429 0.246
-0.776 -1.347 0.246
-0.776 -1.265 0.251
-0.776 -1.184 0.268
-0.776 -1.102 0.297
-0.776 -1.020 0.329
-0.776 -0.939 0.359
-0.776 -0.857 0.377
-0.776 -0.776 0.380
-0.776 -0.694 0.369
-0.776 -0.612 0.346
-0.776 -0.531 0.322
-0.776 -0.449 0.299
-0.776 -0.367 0.279
-0.776 -0.286 0.265
-0.776 -0.204 0.257
-0.776 -0.122 0.252
-0.776 -0.041 0.249
-0.776 0.041 0.248
-0.776 0.122 0.247
-0.776 0.204 0.246
-0.776 0.286 0.246
-0.776 0.367 0.245
-0.776 0.449 0.245
-0.776 0.531 0.245
-0.776 0.612 0.245
-0.776 0.694 0.245
-0.776 0.776 0.245
-0.776 0.857 0.245
-0.776 0.939 0.245
-0.776 1.020 0.245
-0.776 1.102 0.245
-0.776 1.184 0.245
-0.776 1.265 0.244
-0.776 1.347 0.244
-0.776 1.429 0.244
-0.776 1.510 0.244
-0.776 1.592 0.244
-0.776 1.673 0.244
-0.776 1.755 0.244
-0.776 1.837 0.244
-0.776 1.918 0.244
-0.776 2.000 0.244
-0.694 -2.000 0.718
-0.694 -1.918 0.492
-0.694 -1.837 0.308
-0.694 -1.755 0.222
-0.694 -1.673 0.220
-0.694 -1.592 0.220
-0.694 -1.510 0.220
-0.694 -1.429 0.220
-0.694 -1.347 0.220
-0.694 -1.265 0.220
-0.694 -1.184 0.232
-0.694 -1.102 0.256
-0.694 -1.020 0.286
-0.694 -0.939 0.315
-0.694 -0.857 0.333
-0.694 -0.776 0.336
-0.694 -0.694 0.325
-0.694 -0.612 0.303
-0.694 -0.531 0.280
-0.694 -0.449 0.258
-0.694 -0.367 0.243
-0.694 -0.286 0.234
-0.694 -0.204 0.228
-0.694 -0.122 0.224
-0.694 -0.041 0.222
-0.694 0.041 0.221
-0.694 0.122 0.220
-0.694 0.204 0.220
-0.694 0.286 0.220
-0.694 0.367 0.219
-0.694 0.449 0.219
-0.694 0.531 0.219
-0.694 0.612 0.219
-0.694 0.694 0.219
-0.694 0.776 0.219
-0.694 0.857 0.219
-0.694 0.939 0.219
